model,accuracy,precision,recall,f1
MobileNetV2,0.8149606299212598,0.8187802727566508,0.8149606299212598,0.8120715515262579
ResNet18,0.7755905511811023,0.785989864172577,0.7755905511811023,0.7760254860656078
